"filename", "language", "YAML", "Dockerfile", "JSON", "JavaScript", "Shell Script", "HTML", "XML", "SCSS", "Go", "Properties", "JavaScript React", "comment", "blank", "total"
"/Users/ankit.gautam/rhba/docker-compose.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"/Users/ankit.gautam/rhba/docker.letsencrypt.yml", "YAML", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"/Users/ankit.gautam/rhba/embed/public/js/funnels.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 22, 5, 101
"/Users/ankit.gautam/rhba/embed/public/js/loaders.js", "JavaScript", 0, 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 22, 7, 135
"/Users/ankit.gautam/rhba/embed/public/js/recordings.js", "JavaScript", 0, 0, 0, 2906, 0, 0, 0, 0, 0, 0, 0, 242, 103, 3251
"/Users/ankit.gautam/rhba/embed/src/funnels.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/ankit.gautam/rhba/embed/src/loader.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"/Users/ankit.gautam/rhba/embed/src/recordings.js", "JavaScript", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 3, 3, 35
"/Users/ankit.gautam/rhba/embed/wp.common.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32
"/Users/ankit.gautam/rhba/embed/wp.dev.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/Users/ankit.gautam/rhba/embed/wp.prod.js", "JavaScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"/Users/ankit.gautam/rhba/next.config.js", "JavaScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/Users/ankit.gautam/rhba/package-lock.json", "JSON", 0, 0, 12041, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12042
"/Users/ankit.gautam/rhba/package.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 63
"/Users/ankit.gautam/rhba/pages/[team]/[project]/funnels/index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/[project]/funnels/new.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/[project]/index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/[project]/recordings/[recordingID]/tracks.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/[project]/recordings/index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/[project]/recordings/settings.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/[project]/tracks/[track]/index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/index.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/members.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/[team]/settings.js", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/Users/ankit.gautam/rhba/pages/_app.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 3, 24
"/Users/ankit.gautam/rhba/pages/_document.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/ankit.gautam/rhba/pages/api/google/callback.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 4, 8, 98
"/Users/ankit.gautam/rhba/pages/api/google/index.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 7, 30
"/Users/ankit.gautam/rhba/pages/api/login.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 4, 26
"/Users/ankit.gautam/rhba/pages/api/static/[project].js", "JavaScript", 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 1, 4, 97
